notation,domain,matrix,name,description,tag,tag,tag,tags,tags,,,,,
528,Hydrological,,Soil moisture at surface <deprecated>,Fractional content of water in a volume of wet soil. Surface layer (upper few centimetres).,,,,,,,,,,
563,Terrestrial,,Fraction of Absorbed PAR (FAPAR),Fraction of PAR absorbed by vegetation (land or marine) for photosynthesis processes (generally around the 'red' frequencies).,Land surface,Radiation,Fraction of Absorbed PAR (FAPAR),,,,,,,
564,Terrestrial,,Photosynthetically Active Radiation (PAR),Flux of downwelling photons of wavelength 400-700 nm.,Land surface,Radiation,Photosynthetically Active Radiation (PAR),,,,,,,
596,Terrestrial,,Soil temperature,"The standard depths for soil temperature measurements are 5, 10, 20, 50 and 100 cm below the surface; additional depths may be included. The site for such measurements should be a level plot of bare ground (about 75 cm^2 ) and typical of the surrounding soil for which information is required.",Soil,Temperature,Soil temperature,,,,,,,
611,Terrestrial,,Glacier motion,Velocity of the ice measured at the surface of a glacier.,Cryosphere,Glacier,Glacier motion,,,,,,,
612,Terrestrial,,Glacier topography,Map of the height of the glacier surface.,Cryosphere,Glacier,Glacier topography,,,,,,,
613,Terrestrial,,Ice sheet topography,Map of ice sheet height over land.,Cryosphere,Ice sheet,Ice sheet topography,,,,,,,
627,Terrestrial,,Depth of snowfall,The vertical depth of freshly fallen snow that has accumulated during a specific period.,Cryosphere,Snow,Depth of snowfall,,,,,,,
628,Terrestrial,,Snow cover extent,"The area of snow-covered ground, ice, or firn based on the fractional threshold used to define presence of snow.",Cryosphere,Snow,Snow cover extent,,,,,,,
629,Terrestrial,,Snow depth,Vertical distance from the snow surface to a stated reference level.,Cryosphere,Snow,Snow depth,,,,,,,
630,Terrestrial,,Snow surface state,Binary product (dry or wet) expressing the presence of liquid water at the surface of the snow cover.,Cryosphere,Snow,Snow surface state,,,,,,,
631,Terrestrial,,Water equivalent of snow cover,"The Vertical depth of the water that would be obtained if the snow cover melted completely, which equates to the snow-cover mass per unit area.",Cryosphere,Snow,Water equivalent of snow cover,,,,,,,
725,Terrestrial,,Ice thickness,,Cryosphere,Lake ice,Ice thickness,,,,,,,
726,Terrestrial,,Ice thickness,,Cryosphere,River ice,Ice thickness,,,,,,,
12007,Terrestrial,,Presence of snow,A binary observation of the presence of snow cover at the measurement location.,Cryosphere,Snow,Presence of snow,,,,,,,
12008,Terrestrial,,Water equivalent of snowfall,"Vertical depth of the water that would be obtained if the freshly fallen snow melted completely, which equates to the new snow mass per unit area.",Cryosphere,Snow,Water equivalent of snowfall,,,,,,,
12009,Terrestrial,,Glacier mass balance at a point,"The result of all processes adding and removing mass from the glacier at a point on its surface, expressed over a stated period of time",Cryosphere,Glacier,Glacier mass balance at a point,,,,,,,
12010,Terrestrial,,Glacier-wide mass balance,"The result of all processes adding and removing mass from the glacier at its surface, expressed over a stated period of time and integrated over the entire glacier area",Cryosphere,Glacier,Glacier-wide mass balance,,,,,,,
12011,Terrestrial,,Surface accumulation at a point,The mass added to the glacier at a point on its surface expressed over a stated period of time.,Cryosphere,Glacier,Surface accumulation at a point,,,,,,,
12012,Terrestrial,,Surface ablation at a point,The mass removed from the glacier at a point on its surface expressed over a stated period of time.,Cryosphere,Glacier,Surface ablation at a point,,,,,,,
12013,Terrestrial,,Glacier area,Area enclosed by the projection of the glacier outline onto the surface of an ellipsoid approximating the surface of the Earth or onto a planar horizontal approximation to that ellipsoid. The glacier area excludes nunataks but includes debris-covered parts of the glacier. The glacier outline separates the glacier from unglacierized terrain and from contiguous glaciers.,Cryosphere,Glacier,Glacier area,,,,,,,
,Hydrological,,Presence of surface water,A binary observation of the presence of water cover at the measurement location.,,,,,,,,,,
,Hydrological,Liquid phase,Light absorption by colored dissolved organic matter (CDOM),"Colored dissolved organic matter (CDOM) is the optically measurable component of dissolved organic matter in water. Also known as chromophoric dissolved organic matter, yellow substance, and gelbstoff. CDOM most strongly absorbs short wavelength light ranging from blue to ultraviolet, whereas pure water absorbs longer wavelength red light. The absorption by CDOM is traditionally measured by UV-visible spectroscopy (https://en.wikipedia.org/wiki/Colored_dissolved_organic_matter, 2021).",Physical,Optical,Water quality,,,,,,,
,Hydrological,Liquid phase,Light absorption by colored detrital matter (CDM),"Colored detrital matter (CDM) is a mix of organic material from various sources: material formed in the ocean, washed from land and that rises from the seafloor. The light absorption of phytoplankton and CDM, which includes contribution of gelbstoff and detrital matters, has distinctive yet overlapping features in the ultraviolet (UV) and visible domain. ",Physical,Optical,Water quality,,,,,,,
,Hydrological,Liquid phase,Light absorption by non-algal particles ,"Absorption of light due to suspended non-algal particles (NAPs). NAPs refers to particulate matter that does not have extractable (via solvents such as acetone or methanol) pigments. This includes all living and detrital organic matter such as the non-pigmented portion of phytoplankton cells, detritus, heterotrophic bacteria, and viruses. Many authors also include inorganic mineral particles of both biogenic (e.g., calcite liths and shells) and terrestrial origin (e.g., clay, silt, and sand) (https://www.oceanopticsbook.info/view/optical-constituents-of-the-ocean/non-algal-particles-nap, 2021).",Physical,Optical,Water quality,,,,,,,
,Hydrological,Liquid phase,Light absorption by particles ,Absorption of light due to suspended particles at a given frequency range ,Physical,Optical,Water quality,,,,,,,
,Hydrological,Liquid phase,Light absorption by phytoplankton ,Absorption of light due to suspended phytoplankton at a given frequency range ,Physical,Optical,Water quality,Oxosal,,,,,,
,Hydrological,Liquid phase,Total light absorption ,Total absorption of light at a fiven frequency range,Physical,Optical,Water quality,Metal,,,,,,
,Hydrological,Liquid phase,Active sediment layer thickness ,The thickness of the upper layer of sediment that can be removed during high energy conditions. ,Physical,,Geomorphology,Non-metal,,,,,,
,Hydrological,Liquid phase,Light attenuation coefficient,"The Secchi depth is reached when the reflectance equals the intensity of light backscattered from the water. The Secchi depth in metres ( divided into 1.7 yields the attenuation coefficient (also called extinction coefficient), for the available light averaged over the Secchi disk depth. While used as a variable, the attenuation coefficient is also used as a variable for turbidity. The light attenuation coefficient, k, can then be used in a form of the Beer-Lambert law, I_z/I_0 = e^(-kz) to estimate I_z, the intensity of light at depth z from I_0, the intensity of light at the water surface (https://en.wikipedia.org/wiki/Secchi_disk, 2021) (http://hydro.geodab.eu/hydro-ontology/concept/90).",Physical,Optical,Water quality,Metal,,,,,,
,Hydrological,Liquid phase,Light backscatter by non-algal particles (NAPs),"Backscattering of light due to suspended non-algal particles (NAPs). NAPs refers to particulate matter that does not have extractable (via solvents such as acetone or methanol) pigments. This includes all living and detrital organic matter such as the non-pigmented portion of phytoplankton cells, detritus, heterotrophic bacteria, and viruses. Many authors also include inorganic mineral particles of both biogenic (e.g., calcite liths and shells) and terrestrial origin (e.g., clay, silt, and sand) (https://www.oceanopticsbook.info/view/optical-constituents-of-the-ocean/non-algal-particles-nap, 2021).",Physical,Optical,Water quality,Metal,,,,,,
,Hydrological,Liquid phase,Light backscatter by particles ,Backscatter of light due to suspended particles at a given frequency range ,Physical,Optical,Water quality,Metal,,,,,,
,Hydrological,Liquid phase,Backscatter by phytoplankton ,Backscatter of light due to suspended phytoplankton at a given frequency range ,Physical,Optical,Water quality,,,,,,,
,Hydrological,Liquid phase,Chemical oxygen demand (COD),The oxygen equivalent of the organic matter susceptible to oxidation by a strong chemical oxidant in milligrams/litre (http://hydro.geodab.eu/hydro-ontology/concept/2424).,Chemical,,Water quality,Non-metal,Halogen,,,,,
,Hydrological,Liquid phase,Color ,Water true color (measured with the turbidity removed). (http://hydro.geodab.eu/hydro-ontology/concept/116),Physical,Optical,Water quality,Metal,,,,,,
,Hydrological,Liquid phase,Conductivity,Water electrical conductivity (specific conductance) http://hydro.geodab.eu/hydro-ontology/concept/2297)(,Physical,,Water quality,Metal,,,,,,
,Hydrological,Liquid phase,Conductivity at 25°C ,Water electrical conductivity at a temperature of 25°C,Physical,Electrical,Water quality,Metal,,,,,,
,Hydrological,Liquid phase,Salinity,Quantity of dissolved salt content of water (http://hydro.geodab.eu/hydro-ontology/concept/2294).,Physical,,Water quality,Metal,,,,,,
,Hydrological,Liquid phase,Sand fraction ,Concentration of suspended 2.0 to 0.05 mm sized particles.,Physical,,Water quality,Non-metal,Halogen,,,,,
,Hydrological,Liquid phase,Dissolved organic matter ,Concentration of dissolved organic matter ,Physical,,Water quality,Metal,,,,,,
,Hydrological,Liquid phase,Colored dissolved organic matter ,Concentration of colored dissolved organic matter (CDOM).,Physical,,Water quality,Metal,,,,,,
,Hydrological,Liquid phase,Dissolved volatile solids ,Concentration of dissolved volatile solids. These are determined by the weight lost after ignition at 500 ± 50ºC of dissolved solids.,Physical,,Water quality,Metal,,,,,,
,Hydrological,Liquid phase,total fixed solids ,Concentration of total fixed solids. These are determined as the residue after ignition at 500 ± 50ºC of total solids,Physical,,Water quality,Metal,,,,,,
,Hydrological,Liquid phase,fixed dissolved solids ,Concentration of fixed dissolved solids. These are determined as the residue after ignition at 500 ± 50ºC of dissolved solids (http://hydro.geodab.eu/hydro-ontology/concept/2265),Physical,,Water quality,Metal,,,,,,
,Hydrological,Liquid phase,Fixed suspended solids,Concentration of fixed suspended solids. These are determined as the residue after ignition at 500 ± 50ºC of suspended solids. (http://hydro.geodab.eu/hydro-ontology/concept/104),Physical,,Water quality,Nutrient,Nitrogen,,,,,
,Hydrological,Liquid phase,Volatile suspended solids,Concentration on suspended volatile solids. These are determined as the weight lost after ignition at 500 ± 50ºC of suspended solids (http://hydro.geodab.eu/hydro-ontology/concept/103),Physical,,Water quality,Nutrient,Nitrogen,,,,,
,Hydrological,Liquid phase,Oxidation reduction potential,Water oxidation reduction potential (http://hydro.geodab.eu/hydro-ontology/concept/2292),Physical,,Water quality,Nutrient,Nitrogen,,,,,
,Hydrological,Liquid phase,total solids ,Concentration of suspended and dissolved solids.,Physical,,Water quality,Nutrient,Nitrogen,,,,,
,Hydrological,Liquid phase,Total dissolved solids,Concentration of volatile and fixed dissolved solids.  (http://hydro.geodab.eu/hydro-ontology/concept/110),Physical,,Water quality,Nutrient,Nitrogen,,,,,
,Hydrological,Liquid phase,fine total suspended solids ,Concentration of non-filterable suspended solids. ,Physical,,Water quality,Metal,,,,,,
,Hydrological,Liquid phase,total volatile solids ,Concentration of suspended and dissolved volatile solids. ,Physical,,Water quality,Metal,,,,,,
,Hydrological,Liquid phase,total sediment thickness ,"Thickness of the sediment layer, including both active and inactive sediments.",Physical,,Water quality,Metal,,,,,,
,Hydrological,Liquid phase,Turbidity ,A measure of relative clarity of water. (http://hydro.geodab.eu/hydro-ontology/concept/105),Physical,Optical,Water quality,Metal,,,,,,
,Hydrological,Liquid phase,Settlable solids,"Settleable solids are the particulates that settle out of a still fluid. The may be quantified using a Imhoff cone, where the suspension is allowed to settle for 1 to 2 hours. (http://hydro.geodab.eu/hydro-ontology/concept/100)",Physical,,Water quality,Metal,,,,,,
,Hydrological,Liquid phase,Secchi depth,A measure of turbidity done using a Secchi disk. The Secchi depth is reached when the reflectance equals the intensity of light backscattered from the water. (http://hydro.geodab.eu/hydro-ontology/concept/94),Physical,Optical,Water quality,Metal,,,,,,
,Hydrological,Liquid phase,Density of water,The ratio between mass and volume of water. (http://hydro.geodab.eu/hydro-ontology/concept/39),Physical,,Water quality,,,,,,,
,Hydrological,Cryosphere,Mean snow density,The ratio between mass and volume of snow.,Physical,,,Trace element,,,,,,
,Hydrological,Liquid phase,Temperature ,"Temperature is a physical quantity that expresses hot and cold. It is the manifestation of thermal energy, present in all matter, which is the source of the occurrence of heat, a flow of energy, when a body is in contact with another that is colder or hotter (https://en.wikipedia.org/wiki/Temperature, 2021). (http://hydro.geodab.eu/hydro-ontology/concept/40)",Physical,,Water quality,,,,,,,
,Hydrological,Liquid phase,Radioactivity,Stength of radioactive source.,Physical,Radiation,Water quality,,,,,,,
,Hydrological,Liquid phase,Fluence (of particle radiation),"The number of radiant-energy particles emitted from a surface in a given period of time, divided by the area of the surface",Physical,Radiation,Water quality,,,,,,,
,Hydrological,Liquid phase,Radiative flux,"The amount of power radiated through a given area, in the form of photons or other elementary particles, typically measured in W/m^2",Physical,Radiation,Water quality,,,,,,,
,Hydrological,Liquid phase,Apparent Color,Water color measured without turbidity removal,Physical,Optical,Water quality,,,,,,,
,Hydrological,Liquid phase,Hardness,The amount of dissolved calcium and magnesium (http://hydro.geodab.eu/hydro-ontology/concept/2298),Chemical,Mayor element,Water quality,,,,,,,
,Hydrological,Liquid phase,Total bacteria,Number of viable bacteria per unit of sample volume. (http://hydro.geodab.eu/hydro-ontology/concept/4909),Life form,,Water quality,,,,,,,
,Hydrological,Liquid phase,Total coliform ,Number of viable coliform bacteria per unit of sample volume. (http://hydro.geodab.eu/hydro-ontology/concept/4907),Life form,,Water quality,,,,,,,
,Hydrological,Liquid phase,echerichia coli,Number of viable escherichia coli bacteria present in the sample volume. (http://hydro.geodab.eu/hydro-ontology/concept/4916),Life form,,Water quality,,,,,,,
,Hydrological,Liquid phase,fecal coliform ,Number of viable fecal coliform bacteria per unit of sample volume (http://hydro.geodab.eu/hydro-ontology/concept/4905). ,Life form,,Water quality,,,,,,,
,Hydrological,Liquid phase,fecal streptococci ,Number of viable fecal streptococci bacteria per unit of sample volume. (http://hydro.geodab.eu/hydro-ontology/concept/4906),Life form,,Water quality,,,,,,,
,Hydrological,Liquid phase,Biochemical Oxygen Demand (BOD),The amount of oxygen consumed by bacteria and other microorganisms while they decompose organic matter under aerobic (oxygen is present) conditions at a specified temperature (http://hydro.geodab.eu/hydro-ontology/concept/2425),Life form,,Water quality,,,,,,,
,Hydrological,Liquid phase,Bicarbonate alkalinity as CaCO3,Bicarbonate concentration in an alkaline sample (http://hydro.geodab.eu/hydro-ontology/concept/2279),Chemical,Mayor element,Water quality,,,,,,,
,Hydrological,Liquid phase,Ca (calcium),"IUPAC: Calcium, PubChem CID: 5460341, CAS Number: 7440-70-2",Chemical,Mayor element,Water quality,,,,,,,
,Hydrological,Liquid phase,Cl- (chloride),"IUPAC: Chloride, PubChem CID: 312, CAS Number: 16887-00-6 (http://hydro.geodab.eu/hydro-ontology/concept/2281)",Chemical,Mayor element,Water quality,,,,,,,
,Hydrological,Liquid phase,Mg (magnesium) in liquid phase ,"IUPAC: Magnesium, PubChem CID: 5462224, CAS Number: 7439-95-4",Chemical,Mayor element,Water quality,,,,,,,
,Hydrological,Liquid phase,K (potassium)  ,"IUPAC: Potassium, PubChem CID: 5462222, CAS Number: 7440-09-7 ",Chemical,Mayor element,Water quality,,,,,,,
,Hydrological,Liquid phase,Na (sodium)  ,"IUPAC: Sodium, PubChem CID: 5360545, CAS Number: 7440-23-5",Chemical,Mayor element,Water quality,Nutrient,,,,,,
,Hydrological,Liquid phase,SO4 (sulfate),"IUPAC: Sulfate, PubChem CID: 1117, CAS Number: 14808-79-8",Chemical,Mayor element,Water quality,Nutrient,,,,,,
,Hydrological,Liquid phase,Br- (bromide),"IUPAC: bromide, PubChem CID: 259,  CAS Number: 24959-67-9",Chemical,Minor element,Water quality,Nutrient,,,,,,
,Hydrological,Liquid phase,Cd (cadmium),"IUPAC: cadmium, PubChem CID: 23973, CAS Number: 7440-43-9",Chemical,Minor element,Water quality,Nutrient,,,,,,
,Hydrological,Liquid phase,Cr (chromium) ,"IUPAC: Chromium, PubChem CID: 23976, CAS Number: 7440-47-3",Chemical,Minor element,Water quality,Nutrient,,,,,,
,Hydrological,Liquid phase,Co (cobalt) ,"IUPAC: Cobalt, PubChem CID: 104730, CAS Number: 7440-48-4",Chemical,Minor element,Water quality,Nutrient,,,,,,
,Hydrological,Liquid phase,Cu (copper),"IUPAC: Copper, PubChem CID: 23978, CAS Number: 7440-50-8",Chemical,Minor element,Water quality,Nutrient,,,,,,
,Hydrological,Liquid phase,F- (fluoride),"IUPAC: Fluoride, PubChem CID: 28179, CAS Number: 16984-48-8",Chemical,Minor element,Water quality,,,,,,,
,Hydrological,Liquid phase,Fe (iron) in liquid phase,"IUPAC: Iron, PubChem CID: 23925, CAS Number: 7439-89-6",Chemical,Minor element,Water quality,,,,,,,
,Hydrological,Liquid phase,Mn (manganese) ,"IUPAC: Manganese, PubChem CID: 23930, CAS Number: 7439-96-5",Chemical,Minor element,Water quality,Nutrient,,,,,,
,Hydrological,Liquid phase,Hg (mercury) ,"IUPAC: Mercury, PubChem CID: 23931, CAS Number: 7439-97-6",Chemical,Minor element,Water quality,Nutrient,,,,,,
,Hydrological,Liquid phase,Mo (molybdenum),"IUPAC: Molybdenum, PubChem CID: 23932, CAS Number: 7439-98-7",Chemical,Minor element,Water quality,Nutrient,,,,,,
,Hydrological,Liquid phase,Ni (nickel) ,"IUPAC: Nickel, PubChem CID: 935, CAS Number: 7440-02-0",Chemical,Minor element,Water quality,Nutrient,,,,,,
,Hydrological,Liquid phase,Nitrate Nitrogen (NO3-N),Concentration of nitrogen that is in the nitrate ion found in a sample.,Biogeochemistry,Minor element,Water quality,Inorganic,,,,,,
,Hydrological,Liquid phase,"Nitrate and nitrite Nitrogen (sum of NO3-N & NO2-N, total oxidized nitrogen (TON))",Concentration of sum of two inorganic forms of nitrogen (nitrite nitrogen+ nitrate nitrogen) found in a sample. ,Biogeochemistry,Minor element,Water quality,Nutrient,,,,,,
,Hydrological,Liquid phase,Nitrite nitrogen (NO2-N),Concentration of nitrogen that is in the nitrite ion found in a sample.,Biogeochemistry,Minor element,Water quality,Nutrient,,,,,,
,Hydrological,Liquid phase,NO3- (Nitrate),"IUPAC: Nitrate Ion, PubChem CID: 943, CAS Number: 14797-55-8",Biogeochemistry,Minor element,Water quality,Nutrient,,,,,,
,Hydrological,Liquid phase,NO2- (Nitrite),"IUPAC: Nitrite Ion, PubChem CID: 946, CAS Number: 14797-65-0",Biogeochemistry,Minor element,Water quality,,,,,,,
,Hydrological,Liquid phase,N (nitrogen) ,"IUPAC: Nitrogen, PubChem CID: 947, CAS Number: 7727-37-9",Chemical,Minor element,Water quality,hydrocarbon,,,,,,
,Hydrological,Liquid phase,Ag (silver) ,"IUPAC: Silver, PubChem CID: 23954, CAS Number: 7440-22-4",Chemical,Minor element,Water quality,hydrocarbon,organochloride,halocarbon,pesticide,acute toxic,,
,Hydrological,Liquid phase,Ti (titanium),"IUPAC: Titanium, PubChem CID: 23963, CAS Number: 7440-32-6",Chemical,Minor element,Water quality,hydrocarbon,organochloride,pesticide,,,,
,Hydrological,Liquid phase,V (vanadium),"IUPAC: Vanadium, PubChem CID: 23990, CAS Number: 7440-62-2",Chemical,Minor element,Water quality,hydrocarbon,organochloride,pesticide,,,,
,Hydrological,Liquid phase,Zn (zinc)  ,"IUPAC: Zinc, PubChem CID: 23994, CAS Number: 7440-66-6",Chemical,Minor element,Water quality,hydrocarbon,organochloride,pesticide,,,,
,Hydrological,Liquid phase,Zr (zirconium)  ,"IUPAC: Zirconium, PubChem CID: 23995, CAS Number: 7440-67-7",Chemical,Minor element,Water quality,hydrocarbon,organochloride,pesticide,acute toxic,,,
,Hydrological,Liquid phase,CN- (cyanide),"IUPAC: Cyanide, PubChem CID: 5975, CAS Number: 57-12-5",Chemical,Minor element,Water quality,hydrocarbon,PAH,acute toxic,,,,
,Hydrological,Liquid phase,dissolved aluminium ,Concentration after filtering the sample through 0.45 uM filter.,Chemical,Minor element,Water quality,hydrocarbon,PAH,acute toxic,,,,
,Hydrological,Liquid phase,dissolved cadmium,Concentration after filtering the sample through 0.45 uM filter.,Chemical,Minor element,Water quality,hydrocarbon,PAH,Carcinogenic,acute toxic,,,
,Hydrological,Liquid phase,dissolved calcium,Concentration after filtering the sample through 0.45 uM filter.,Chemical,Minor element,Water quality,hydrocarbon,PAH,Carcinogenic,acute toxic,,,
,Hydrological,Liquid phase,dissolved copper,Concentration after filtering the sample through 0.45 uM filter.,Chemical,Minor element,Water quality,hydrocarbon,PAH,Carcinogenic,acute toxic,,,
,Hydrological,Liquid phase,dissolved chromium,Concentration after filtering the sample through 0.45 uM filter.,Chemical,Minor element,Water quality,hydrocarbon,PAH,Carcinogenic,acute toxic,,,
,Hydrological,Liquid phase,dissolved iron,Concentration after filtering the sample through 0.45 uM filter.,Chemical,Minor element,Water quality,hydrocarbon,PAH,,,,,
,Hydrological,Liquid phase,dissolved magnesium,Concentration after filtering the sample through 0.45 uM filter.,Chemical,Minor element,Water quality,hydrocarbon,halocarbon,insecticide,fungicide,acute toxic,,
,Hydrological,Liquid phase,dissolved manganese,Concentration after filtering the sample through 0.45 uM filter.,Chemical,Minor element,Water quality,hydrocarbon,halocarbon,,,,,
,Hydrological,Liquid phase,dissolved mercury,Concentration after filtering the sample through 0.45 uM filter.,Chemical,Minor element,Water quality,hydrocarbon,halocarbon,pesticide,insecticide,semivolatile,acute toxic,
,Hydrological,Liquid phase,dissolved nickel,Concentration after filtering the sample through 0.45 uM filter.,Chemical,Minor element,Water quality,hydrocarbon,organochloride,pesticide,insecticide,Carcinogenic,acute toxic,
,Hydrological,Liquid phase,dissolved silver,Concentration after filtering the sample through 0.45 uM filter.,Chemical,Minor element,Water quality,hydrocarbon,organochloride,,,,,
,Hydrological,Liquid phase,dissolved lead,Concentration after filtering the sample through 0.45 uM filter.,Chemical,Minor element,Water quality,hydrocarbon,organochloride,,,,,
,Hydrological,Liquid phase,dissolved potassium,Concentration after filtering the sample through 0.45 uM filter.,Chemical,Minor element,Water quality,hydrocarbon,organochloride,Bioside,antiseptic,preservative,,
,Hydrological,Liquid phase,dissolved selenium,Concentration after filtering the sample through 0.45 uM filter.,Chemical,Minor element,Water quality,hydrocarbon,organochloride,solvent,flammable,,,
,Hydrological,Liquid phase,dissolved silica,Concentration after filtering the sample through 0.45 uM filter.,Chemical,Minor element,Water quality,hydrocarbon,organochloride,solvent,refrigerant,topicalanesthetic,,
,Hydrological,Liquid phase,reactive silica,"It consists primarily monomeric silicic acid (Si(OH)4), which spontaneously polymerizes by dehydration reaction to form a dimer, oligomers and ultimately high silica and silicate polymers (R. Y. Ning, 2010
Reactive silica in natural waters — A review, Desalination and Water Treatment, 21:1-3, 79-86).",Chemical,Minor element,Water quality,hydrocarbon,organochloride,Carcinogenic,flammable,acute toxic,,
,Hydrological,Liquid phase,dissolved sodium,Concentration after filtering the sample through 0.45 uM filter.,Chemical,Minor element,Water quality,hydrocarbon,organochloride,Volatile,acute toxic,,,
,Hydrological,Liquid phase,dissolved zinc,Concentration after filtering the sample through 0.45 uM filter.,Chemical,Minor element,Water quality,hydrocarbon,halocarbon,acute toxic,,,,
,Hydrological,Liquid phase,NH4+ (ammonium),"IUPAC: ammonium, PubChem CID: 16741146, CAS Number: 14798-03-9",Chemical,Minor element,Water quality,hydrocarbon,organochloride,halocarbon,pesticide,acute toxic,,
,Hydrological,Liquid phase,ammonia and ammonium as NH4+,,Chemical,Biogeochemistry,Water quality,hydrocarbon,organochloride,halocarbon,pesticide,acute toxic,,
,Hydrological,Liquid phase,Ammonia and ammonium nitrogen ,,Chemical,Biogeochemistry,Water quality,hydrocarbon,organochloride,halocarbon,irritant,corrosive,acute toxic,
,Hydrological,Liquid phase,Ammonia nitrogen (NH3-N),Concentration of nitrogen  in a ammonia sample,Chemical,Biogeochemistry,Water quality,biomolecule,protein,,,,,
,Hydrological,Liquid phase,total Kjeldahl nitrogen (TKN),"Total Kjeldahl nitrogen or TKN is the sum of nitrogen bound in organic substances, nitrogen in ammonia (NH3-N) and in ammonium (NH4+-N) in the chemical analysis of soil, water, or waste water (e.g. sewage treatment plant effluent) (https://en.wikipedia.org/wiki/Kjeldahl_method, 2021).",Chemical,Biogeochemistry,Water quality,biomolecule,protein,,,,,
